"iso2c","year","launched","foiled","all","population","all_poisson","launched_poisson","all_nb","launched_nb"
"TZ",2013,0,0,0,48482266,1,0,0,0
"TZ",2014,0,0,0,49959822,1,0,0,0
"TZ",2015,0,0,0,51482633,0,0,0,0
"TZ",2016,0,0,0,53050790,0,0,0,0
"TH",1990,0,0,0,56558186,0,0,0,0
"TH",1991,0,0,0,57232465,0,0,0,0
"TH",1992,0,0,0,57811021,0,0,0,0
"TH",1993,0,0,0,58337773,0,0,0,0
"TH",1994,0,0,0,58875269,0,0,3,0
"TH",1995,0,0,0,59467274,0,0,0,0
"TH",1996,0,0,0,60130186,0,0,0,0
"TH",1997,0,0,0,60846582,0,0,0,0
"TH",1998,0,0,0,61585103,0,0,0,0
"TH",1999,0,0,0,62298571,0,0,0,0
"TH",2000,0,0,0,62952642,0,0,0,0
"TH",2001,0,0,0,63539196,0,0,0,0
"TH",2002,0,0,0,64069087,0,0,0,0
"TH",2003,0,1,1,64549866,0,0,0,0
"TH",2004,0,0,0,64995299,0,0,0,0
"TH",2005,0,0,0,65416189,0,0,0,0
"TH",2006,0,0,0,65812536,0,0,0,0
"TH",2007,0,0,0,66182067,0,0,0,0
"TH",2008,0,0,0,66530984,0,0,0,0
"TH",2009,0,0,0,66866839,0,0,0,0
"TH",2010,0,0,0,67195028,0,0,0,0
"TH",2011,0,0,0,67518382,0,0,0,0
"TH",2012,0,0,0,67835957,0,0,0,0
"TH",2013,0,0,0,68144501,0,0,0,0
"TH",2014,0,0,0,68438730,0,0,0,0
"TH",2015,0,0,0,68714511,0,0,0,0
"TH",2016,0,0,0,68971331,1,0,0,0
"TL",1990,0,0,0,737814,1,0,0,0
"TL",1991,0,0,0,759527,0,0,0,0
"TL",1992,0,0,0,783198,0,0,0,0
"TL",1993,0,0,0,806860,0,0,0,0
"TL",1994,0,0,0,827825,0,0,0,0
"TL",1995,0,0,0,844334,0,0,0,0
"TL",1996,0,0,0,855362,0,0,0,0
"TL",1997,0,0,0,861866,0,0,0,0
"TL",1998,0,0,0,866530,0,0,0,0
"TL",1999,0,0,0,873136,1,0,0,0
"TL",2000,0,0,0,884366,0,0,0,0
"TL",2001,0,0,0,901214,0,0,0,0
"TL",2002,0,0,0,922694,0,1,0,0
"TL",2003,0,0,0,947108,0,0,0,0
"TL",2004,0,0,0,971893,0,0,0,0
"TL",2005,0,0,0,995135,0,0,0,0
"TL",2006,0,0,0,1016432,0,0,0,0
"TL",2007,0,0,0,1036392,1,0,0,0
"TL",2008,0,0,0,1055431,0,0,0,0
